Model,Split,Accuracy,Balanced Accuracy,Precision,Recall,Weighted F1,Macro F1,Minority Class Recall,ROC-AUC Macro,Imbalance Method,Train Time (s)
Random Forest,train,0.9574377254583876,0.68000938318766,0.9482265997454469,0.9574377254583876,0.9522135512124531,0.6774327728111544,0.0,0.9810038674702828,baseline,5.79
Random Forest,test,0.7201334230622933,0.6915079661545614,0.6549528986706188,0.7201334230622933,0.6794239989232214,0.5445025942264102,0.0,0.8614733380036705,baseline,5.79
Random Forest,train,0.9521654677794616,0.9046885992831335,0.9717589494700456,0.9521654677794616,0.9605213282513835,0.8112811789048217,0.783157894736842,0.9900088185069951,class_weight,7.76
Random Forest,test,0.7150715393393218,0.7881422721162654,0.7079539458465369,0.7150715393393218,0.6851342188496043,0.6378899603789305,0.35861675843497154,0.9000646432764486,class_weight,7.76
Extra Trees,train,0.9593587910094132,0.9325601074265847,0.972166697978037,0.9593587910094132,0.9643753376631847,0.819785941754967,0.8723444976076555,0.9943557179496793,class_weight,6.44
Extra Trees,test,0.7099511367293794,0.681092720488081,0.6519293666242658,0.7099511367293794,0.6495863544010574,0.6070626543427712,0.3776885802991355,0.8858530506248783,class_weight,6.44
KNN,train,0.9925291895237892,0.9559132844491789,0.9925903807531959,0.9925291895237892,0.9925341006780012,0.9623056077625401,0.8685167464114832,0.9984873131963682,baseline,13.13
KNN,test,0.7366942680750213,0.8053240135897617,0.8649175758464785,0.7366942680750213,0.6978710680683909,0.6768446264732834,0.372593757580823,0.8867686563233572,baseline,13.13
KNN,train,0.9924224636598433,0.969760453768302,0.9925506841066322,0.9924224636598433,0.9924590411583658,0.9595344506784541,0.9171291866028708,0.9984754797296524,RandomOverSampler,14.28
KNN,test,0.7368698247359335,0.8087721618320678,0.8679065656764258,0.7368698247359335,0.6984673795903831,0.675901806504746,0.3841854093491551,0.8867079330908066,RandomOverSampler,14.28
KNN,train,0.992507844351,0.9586533546788031,0.9925755996531137,0.992507844351,0.9925165637049688,0.9638799578153697,0.8776076555023924,0.9984669259181363,SMOTE,14.88
KNN,test,0.7362846358662258,0.8056562008073899,0.7916556188550907,0.7362846358662258,0.6975463849669041,0.6750031355980973,0.3747964007526292,0.8866520148894749,SMOTE,14.88
MLP Classifier,train,0.978612136865248,0.8204378611859257,0.9778127228962106,0.978612136865248,0.9780931649712502,0.8235068885322319,0.4652631578947368,0.9910825778637385,baseline,16.19
MLP Classifier,test,0.7348216636919566,0.7989235583461678,0.6716653707393079,0.7348216636919566,0.6950076305648114,0.666421309494413,0.3590308370044053,0.9060944630118408,baseline,16.19
MLP Classifier,train,0.9776942944353134,0.8272166532265031,0.9770273806699946,0.9776942944353134,0.9772578385888206,0.8217910061311333,0.48526315789473684,0.991092066198741,RandomOverSampler,20.57
MLP Classifier,test,0.7329197998654066,0.8034644665792668,0.6698273183057831,0.7329197998654066,0.6932336139786446,0.6599543850249877,0.3766519823788546,0.8969622969760341,RandomOverSampler,20.57
XGBoost,train,0.9822194710666183,0.8304848403712896,0.981348201420043,0.9822194710666183,0.9817277268036911,0.8296438324661695,0.4789473684210526,0.992120666659757,baseline,25.85
XGBoost,test,0.7363138953097113,0.798319939857555,0.672787541151552,0.7363138953097113,0.696168268817577,0.6679350337805051,0.34801762114537443,0.9125110160750388,baseline,25.85
XGBoost,train,0.9734466050502679,0.972737397092681,0.9800565995035215,0.9734466050502679,0.9759210551635277,0.8535885641215789,0.9755023923444976,0.9987150946107644,sample_weight,25.06
XGBoost,test,0.7306960821605173,0.8043952063508406,0.7560110526666799,0.7306960821605173,0.6947174295874173,0.648841653765154,0.3798333798800115,0.9068719468933318,sample_weight,25.06
XGBoost,train,0.9820487096843049,0.8319848549787411,0.9811962951522355,0.9820487096843049,0.9815639905481638,0.8300123736532833,0.48526315789473684,0.9921854454216105,RandomUnderSampler,36.53
XGBoost,test,0.7365187114141089,0.8049172062670655,0.6729230457453801,0.7365187114141089,0.6964161665300016,0.6718811436899023,0.3700440528634361,0.9237838775465445,RandomUnderSampler,36.53
