model,split,class,precision,recall,f1_score,support
XGBoost,validation,Benign,0.9995121356262959,0.9998779892630552,0.9996950289722476,8196.0
XGBoost,validation,LDAP Flood,0.9124668435013262,0.9124668435013262,0.9124668435013262,377.0
XGBoost,validation,MSSQL Flood,0.9483264826776278,0.9573206876111441,0.9528023598820059,1687.0
XGBoost,validation,NetBIOS Flood,0.9787234042553191,0.968421052631579,0.9735449735449735,95.0
XGBoost,validation,TCP SYN Flood,0.9991531703186197,0.998941686951,0.9990474174428451,9449.0
XGBoost,validation,UDP Flood,0.9887069452286844,0.9839842652430458,0.9863399521194198,3559.0
XGBoost,validation,UDP-Lag Flood,0.5,0.5454545454545454,0.5217391304347826,11.0
XGBoost,test,Benign,0.9647669337217771,0.9992456388495993,0.9817036453749595,10605.0
XGBoost,test,LDAP Flood,0.8353884093711468,0.9409722222222222,0.8850424559111691,1440.0
XGBoost,test,MSSQL Flood,0.9324388318863457,0.9509014810045074,0.9415796604766079,6212.0
XGBoost,test,NetBIOS Flood,0.9902912621359223,0.6822742474916388,0.807920792079208,598.0
XGBoost,test,TCP SYN Flood,0.0703056768558952,0.9061913696060038,0.1304876401458868,533.0
XGBoost,test,UDP Flood,0.8218164266752473,0.9804222648752399,0.8941403002056802,10420.0
XGBoost,test,UDP-Lag Flood,0.8076923076923077,0.0023669972948602343,0.004720161834120027,8872.0
